Subject,Start Date,End Date,Start Time,End Time,Description,Location
Quân sự chung,18/11/2024,18/11/2024,07:00,09:10,153590,KTX-B7
Kỹ thuật chiến đấu bộ binh và chiến thuật,25/11/2024,25/11/2024,07:00,11:20,153593,SanB13
Kỹ thuật chiến đấu bộ binh và chiến thuật,18/11/2024,18/11/2024,09:20,11:20,153593,SanB13
Quân sự chung,18/11/2024,18/11/2024,13:30,17:00,153590,B6b-102
Quân sự chung,25/11/2024,25/11/2024,13:30,17:00,153591,SanKTX
Kỹ thuật chiến đấu bộ binh và chiến thuật,19/11/2024,19/11/2024,07:00,11:20,153593,SanB13
Kỹ thuật chiến đấu bộ binh và chiến thuật,26/11/2024,26/11/2024,07:00,11:20,153593,SanB7
Algebra,10/09/2024,10/09/2024,12:30,14:00,152097,D9-501
Algebra,17/09/2024,17/09/2024,12:30,14:00,152097,D9-501
Algebra,24/09/2024,24/09/2024,12:30,14:00,152097,D9-501
Algebra,01/10/2024,01/10/2024,12:30,14:00,152097,D9-501
Algebra,08/10/2024,08/10/2024,12:30,14:00,152097,D9-501
Algebra,15/10/2024,15/10/2024,12:30,14:00,152097,D9-501
Algebra,22/10/2024,22/10/2024,12:30,14:00,152097,D9-501
Algebra,29/10/2024,29/10/2024,12:30,14:00,152097,D9-501
Algebra,05/11/2024,05/11/2024,12:30,14:00,152097,D9-501
Algebra,12/11/2024,12/11/2024,12:30,14:00,152097,D9-501
Algebra,03/12/2024,03/12/2024,12:30,14:00,152097,D9-501
Algebra,10/12/2024,10/12/2024,12:30,14:00,152097,D9-501
Algebra,17/12/2024,17/12/2024,12:30,14:00,152097,D9-501
Algebra,24/12/2024,24/12/2024,12:30,14:00,152097,D9-501
Algebra,31/12/2024,31/12/2024,12:30,14:00,152097,D9-501
Algebra,07/01/2025,07/01/2025,12:30,14:00,152097,D9-501
Kỹ thuật chiến đấu bộ binh và chiến thuật,19/11/2024,19/11/2024,13:30,17:00,153593,SanKTX
Kỹ thuật chiến đấu bộ binh và chiến thuật,26/11/2024,26/11/2024,13:30,17:00,153593,SanB6b
Algebra,10/09/2024,10/09/2024,14:10,15:50,152099,D9-403
Algebra,17/09/2024,17/09/2024,14:10,15:50,152099,D9-403
Algebra,24/09/2024,24/09/2024,14:10,15:50,152099,D9-403
Algebra,01/10/2024,01/10/2024,14:10,15:50,152099,D9-403
Algebra,08/10/2024,08/10/2024,14:10,15:50,152099,D9-403
Algebra,15/10/2024,15/10/2024,14:10,15:50,152099,D9-403
Algebra,22/10/2024,22/10/2024,14:10,15:50,152099,D9-403
Algebra,29/10/2024,29/10/2024,14:10,15:50,152099,D9-403
Algebra,05/11/2024,05/11/2024,14:10,15:50,152099,D9-403
Algebra,12/11/2024,12/11/2024,14:10,15:50,152099,D9-403
Algebra,03/12/2024,03/12/2024,14:10,15:50,152099,D9-403
Algebra,10/12/2024,10/12/2024,14:10,15:50,152099,D9-403
Algebra,17/12/2024,17/12/2024,14:10,15:50,152099,D9-403
Algebra,24/12/2024,24/12/2024,14:10,15:50,152099,D9-403
Algebra,31/12/2024,31/12/2024,14:10,15:50,152099,D9-403
Algebra,07/01/2025,07/01/2025,14:10,15:50,152099,D9-403
Caculus 1,10/09/2024,10/09/2024,16:00,17:30,152104,D9-403
Caculus 1,17/09/2024,17/09/2024,16:00,17:30,152104,D9-403
Caculus 1,24/09/2024,24/09/2024,16:00,17:30,152104,D9-403
Caculus 1,01/10/2024,01/10/2024,16:00,17:30,152104,D9-403
Caculus 1,08/10/2024,08/10/2024,16:00,17:30,152104,D9-403
Caculus 1,15/10/2024,15/10/2024,16:00,17:30,152104,D9-403
Caculus 1,22/10/2024,22/10/2024,16:00,17:30,152104,D9-403
Caculus 1,29/10/2024,29/10/2024,16:00,17:30,152104,D9-403
Caculus 1,05/11/2024,05/11/2024,16:00,17:30,152104,D9-403
Caculus 1,12/11/2024,12/11/2024,16:00,17:30,152104,D9-403
Caculus 1,03/12/2024,03/12/2024,16:00,17:30,152104,D9-403
Caculus 1,10/12/2024,10/12/2024,16:00,17:30,152104,D9-403
Caculus 1,17/12/2024,17/12/2024,16:00,17:30,152104,D9-403
Caculus 1,24/12/2024,24/12/2024,16:00,17:30,152104,D9-403
Caculus 1,31/12/2024,31/12/2024,16:00,17:30,152104,D9-403
Caculus 1,07/01/2025,07/01/2025,16:00,17:30,152104,D9-403
Kỹ thuật chiến đấu bộ binh và chiến thuật,20/11/2024,20/11/2024,07:00,11:20,153593,SanB13
Kỹ thuật chiến đấu bộ binh và chiến thuật,27/11/2024,27/11/2024,07:00,11:20,153593,SanB6b
Quân sự chung,20/11/2024,20/11/2024,13:30,17:00,153590,B6b-102
Quân sự chung,27/11/2024,27/11/2024,13:30,17:00,153590,B6b-102
C Programming Language,11/09/2024,11/09/2024,14:10,15:50,152108,D9-401
C Programming Language,18/09/2024,18/09/2024,14:10,15:50,152108,D9-401
C Programming Language,25/09/2024,25/09/2024,14:10,15:50,152108,D9-401
C Programming Language,02/10/2024,02/10/2024,14:10,15:50,152108,D9-401
